id2.2013,typ_border,trust_natgov,trust_eu,eqi_2013,Competitiveness,Convergence,Cooperation,Multi.Objective,Less.Developed,Transition,More.Developed,unemployment_2013,education_2013,soc_idx,migration_2013,sgi_aggregated,agr_share,eu_id_positive,eu_id_neutral,eu_id_negative,eu_id_dk,weight
AT11,1,1.7852364796847087,1.2544904992379033,0.03540815838974742,0,1,1,0,0,1,0,4.3,15.8,2.360854620296562,0.20264846526150745,-0.10132423263075373,0.15198634894613058,0.8713884006244821,1.198327924579714,1.034858162602098,0.272224438334625,0.03377474421025124
AT13,1,9.566271338068908,9.275123949518985,0.09664215773533663,1,0,1,0,0,0,1,9.2,30.6,15.173724289807943,2.594331194400209,1.9592389180110379,0.12452789733121003,8.523934572321327,5.722056882369102,6.340545439114112,0.16396173148609322,0.20754649555201674
AT21,1,1.131388859234061,0.9489067851640514,0.0568677471381136,1,0,1,0,0,0,1,5.5,17.3,4.654008218515606,0.16985431454436517,-0.08950015804837703,0.333175770837024,1.121691761817981,1.8030688774709533,3.5669406054316686,0.03985043533540875,0.06532858251706353
AT22,2,3.5539674317618233,4.080481125356167,0.15970921515021533,1,0,1,0,0,0,1,4.7,17.5,10.54273908358273,0.6426757772435964,0.1456731761752152,1.0425629275285009,2.5964101400641293,4.83149367647797,6.779515365723005,0.07140841969373293,0.14281683938746587
AT31,2,5.883867602581693,3.2170786891813576,0.16605254906206016,1,0,1,0,0,0,1,4.3,17.2,12.089239890164313,0.8046083121573585,0.1139861775556258,1.0392857365365882,2.3534793130602734,5.072384901225348,8.64451055374062,0.6889458672847383,0.1676267316994497
AT33,1,2.1829271685156653,2.3076658638594174,0.11644135674416346,1,0,1,0,0,0,1,3.1,19.1,6.372700363199755,0.5174161082858845,-0.013571570053400251,0.3901826390352572,1.8847517911659597,2.8856550826042286,3.5930731716377164,0.11705479171057714,0.08482231283375156
BE10,0,5.152459122269129,5.520491916716924,0.021144433565635497,1,0,0,0,0,0,1,19.2,41.5,7.011852808018001,0.020977869283524315,0.6198960373281435,0.1468450849846702,4.817567680961359,4.049777665184369,1.5775357701210284,0.04195573856704863,0.10488934641762157
BE21,2,5.834942733382385,5.778837514792171,0.21291666536038437,1,0,1,0,0,0,1,6.2,35.4,11.643673108639423,0.3070077561256578,0.8677008686288329,0.1454247265858379,4.682676196063981,6.0286628321306805,5.033311370165389,0.4088050647357443,0.1615830295398199
BE23,2,5.95493125925151,5.444508579887096,0.17337614715817418,1,0,1,0,0,0,1,4,37.3,9.712912564708912,0.5657751832599339,0.7157713946358235,0.1973634360209072,4.793299982827766,5.331444285044774,2.9341364155108205,0.09736596177031422,0.13157562401393813
BE24,0,4.6813556842678095,4.474825286432465,0.13062885743253638,1,0,1,0,0,0,1,5.5,44.3,7.366691454309337,0.35688452745947535,0.6295046526021301,0.09913459096096537,4.0575788080323125,4.257830681773463,1.5296467385276957,0.0664201759438468,0.09913459096096537
BE25,2,4.383568745213308,4.5309155937919074,0.13882280097202002,1,0,1,0,0,0,1,3.9,32.8,7.453724518909135,0.28445309118098466,0.3445042993191925,0.2423118924875054,4.065572143953407,4.27733166738814,1.8373562630356934,0.35293253905788835,0.10535299673369801
BE31,0,1.2124040907343414,1.2573079459467245,0.0056349982617585085,1,0,0,0,0,0,1,8.2,51.2,2.4128727367532314,0.1576125317954644,0.08756251766414688,0.06654751342475163,1.4815577988773652,1.1673834854984062,0.8080269130047475,0.044832009044043206,0.03502500706565875
BE32,2,2.493861433634842,3.32514857817979,0.01920147720162349,0,1,1,0,0,1,0,13.2,28,7.452156735987636,0.28643779894891613,0.27927685397519325,0.22676325750122528,2.7354809799621496,5.063981587251047,4.016096639429596,0.11576861040852028,0.11934908289538174
BE33,2,2.2271480822224774,2.4944058520891748,0.015765847645167985,1,0,1,0,0,1,0,11.7,31.9,6.350044612032727,0.195989031235578,0.18128985389290966,0.14699177342668351,2.341088978108979,3.5552410266133854,3.8590240250285315,0.043117586871827165,0.097994515617789
BG31,2,2.5220207910476393,5.866439666132552,-0.22597170317970286,0,1,1,0,1,0,0,14,19.4,4.543190183608791,-0.6039691529169738,-0.8276614317751123,0.9954306409187161,5.726522338768344,4.105871778441132,1.187806000736715,0.16105844077785966,0.11184613942906922
BG32,2,3.2816034710218864,4.673798882970565,-0.1605026291125039,0,1,1,0,1,0,0,15.3,22,5.331631103622201,-0.2999186687455154,-0.7705602720077088,0.9805033401295696,4.9428903675943605,4.47916996438014,1.6991546117774778,0.41181140285441925,0.11535333413289055
BG33,2,2.3865704806575994,6.873322984293885,-0.014605868619316042,0,1,1,0,1,0,0,16.8,25.2,6.0165059966101175,0.13173869053229947,-0.8668405837025306,1.1461266076310053,6.67783422308226,4.25384231728795,2.1038668878008226,0.13700823815359145,0.13173869053229947
BG34,2,2.9360679478259932,5.682712157082568,-0.23364347908414906,0,1,0,0,1,0,0,13,20.5,5.831030944382422,0.014680339739129966,-1.1142377861999644,1.291869897043437,6.258228830791105,5.3377715291476555,2.9903852048607744,0.0910181063826058,0.14680339739129966
BG41,2,6.525325376772936,13.290552421809585,-0.7628611078164262,0,1,1,0,1,0,0,9.8,35.1,14.887529847107455,0.9102828900598247,-0.971947214870329,1.0571027110372158,13.249020644999769,8.817998447902108,6.530545637074354,0.7605266726628858,0.29363964195478215
BG42,2,5.66453072639037,9.771315503023388,-0.1886398482170817,0,1,1,0,1,0,0,13.5,20.5,8.871363183868118,-0.3009281948394884,-1.3401335610185217,2.24693052146818,11.314900125964764,6.471962377014597,2.0743983564268733,0.19660642062846576,0.20061879655965895
CY00,1,23.55289421157685,20.55888223552894,0.230092,0,0,1,1,0,0,1,15.9,39.3,58.98,-14,-3.88,3.1,24.37,35.76,38.86,0.99,1
CZ01,0,3.4926593930217744,2.6960879525080363,-0.03973070403301086,1,1,1,1,0,0,1,3.1,38.4,7.787435589277786,-0.5085189526787317,0.6338747875251167,0.04730408862127737,3.019183456253028,5.031972427088379,3.7110057523392093,0.06267791742319252,0.11826022155319342
CZ02,0,2.0472599348720917,4.094519869744183,-0.035342047732305946,0,1,1,1,1,0,0,5.2,19.9,7.320392598506586,0.8795868581722246,-0.5859782872048764,0.3840449662442108,4.023800162455473,6.013400858546449,2.259671027191743,0.0891975405470425,0.12388547298200348
CZ03,1,2.8354359391871733,2.9488533767546605,-0.015614700350128739,0,1,1,1,1,0,0,5.2,18,7.275501785079152,0.16116617878339892,-0.3522632193408577,0.5755934956549962,2.6293110881520225,6.018405590568641,2.7455809742743322,0.11626988612230924,0.11511869913099924
CZ05,1,4.2093468831308165,3.3580183000257082,-0.026164988071727353,0,1,1,1,1,0,0,8.3,16.8,8.819111435721883,-0.07165348907801335,-0.5159051213616961,0.6018893082553122,3.8993828756254865,5.945806523693547,4.435350973929026,0.04872437257304908,0.1433069781560267
